id,R,G,B,name,x,y
1,1,0,0,236,468,863
2,3,0,0,236A,704,874
3,5,0,0,235,1014,869
4,7,0,0,234,1358,866
5,9,0,0,233,1697,858
6,11,0,0,238,488,1231
7,13,0,0,239,455,1494
8,15,0,0,241,664,1503
9,17,0,0,240,673,1226
10,19,0,0,241A,600,1231
11,21,0,0,242,872,1505
12,23,0,0,243,896,1235
13,25,0,0,244,1046,1231
14,27,0,0,245,1072,1492
15,29,0,0,246,1275,1496
16,31,0,0,247,1298,1233
17,33,0,0,248,1474,1229
18,35,0,0,249,1498,1387
19,37,0,0,249A,1489,1581
20,39,0,0,250,1737,1481
21,41,0,0,251,1762,1226
22,43,0,0,254,1898,1632
23,45,0,0,253,1982,1641
24,47,0,0,252,2085,1650
25,49,0,0,255,1898,1878
26,51,0,0,256,2005,1887
27,53,0,0,257,2103,1880
28,55,0,0,258,2221,1887
29,57,0,0,259,2350,1878
30,59,0,0,260,2567,1889
31,61,0,0,261,2895,1904
32,63,0,0,262,2895,1779
33,65,0,0,263,2899,1661
34,67,0,0,264,2897,1541
35,69,0,0,226,2268,1661
36,71,0,0,228,2375,1670
37,73,0,0,230,2469,1663
38,75,0,0,265,2683,1637
39,77,0,0,2009,2672,1476
40,79,0,0,201,2901,981
41,81,0,0,203,2899,867
42,83,0,0,205,2904,751
43,85,0,0,207,2899,635
44,87,0,0,209,2904,513
45,89,0,0,211,2904,399
46,91,0,0,213,2901,281
47,93,0,0,215,2904,171
48,95,0,0,217,2589,202
49,97,0,0,219,2482,202
50,99,0,0,221,2377,202
51,101,0,0,223,2266,211
52,103,0,0,225A,2105,173
53,105,0,0,225B,1927,243
54,107,0,0,225C,1929,446
55,109,0,0,225D,2067,443
56,111,0,0,202,2687,939
57,113,0,0,204,2685,773
58,115,0,0,206,2685,664
59,117,0,0,208,2685,553
60,119,0,0,210,2681,428
61,121,0,0,212,2553,437
62,123,0,0,214,2449,434
63,125,0,0,216,2317,434
64,127,0,0,218,2426,707
65,129,0,0,220,2310,1014
66,131,0,0,222,2495,1017
67,133,0,0,232,1938,858
68,135,0,0,227,2083,700
69,137,0,0,229,2085,849
70,139,0,0,231,2083,1019
71,141,0,0,224,2408,1411
72,0,1,0,h236,470,1128
73,0,3,0,h236A,720,1128
74,0,5,0,h235,1005,1121
75,0,7,0,h234,1369,1117
76,0,9,0,h233,1688,1121
77,0,11,0,h232,1933,1121
78,0,13,0,h231,2081,1121
79,0,15,0,h220,2306,1133
80,0,17,0,h222,2498,1128
81,0,19,0,h202,2701,1133
82,0,21,0,h201,2843,1137
83,0,23,0,h264,2783,1550
84,0,25,0,h263,2781,1646 
85,0,27,0,h262,2730,1771
86,0,29,0,h261,2730,1898
87,0,31,0,h230,2460,1757
88,0,33,0,h253,1991,1750